Date,GD,CL,APD,MTB,CSX,SNPS,HBAN,CDNS,MMM,FDX,EPD,FCX,SHW,KLAC,USB,CCI,MNST,MCO,OXY,HSY,PSA,AAPL,MSFT,AMZN,PFE,PEP,COKE,JNJ,WMT,GS
2009-10-01,68.16999816894531,41.07500076293945,74.98612213134766,66.88999938964844,5.387777805328369,22.280000686645508,3.6500000953674316,5.989999771118164,82.66999816894531,83.44999694824219,15.704999923706055,40.14500045776367,20.549999237060547,36.15999984741211,22.510000228881836,39.040000915527344,3.200000047683716,26.799999237060547,77.93829345703125,35.790000915527344,81.44999694824219,7.526071071624756,30.479999542236328,6.72599983215332,17.25806427001953,60.79999923706055,54.02000045776367,64.41000366210938,53.45000076293945,168.83999633789062
2010-01-01,77.19999694824219,42.630001068115234,68.40888214111328,79.37999725341797,5.6555562019348145,22.3700008392334,5.389999866485596,6.670000076293945,83.56999969482422,93.4000015258789,17.290000915527344,41.77000045776367,22.559999465942383,30.93000030517578,25.8799991607666,38.22999954223633,3.615000009536743,29.75,80.99451446533203,42.810001373291016,91.98999786376953,8.39285659790039,29.290000915527344,6.78849983215332,16.271347045898438,66.16000366210938,58.65999984741211,65.19999694824219,55.599998474121094,170.6300048828125
2010-04-01,58.560001373291016,39.380001068115234,59.9537467956543,84.94999694824219,5.514443874359131,20.8700008392334,5.539999961853027,5.789999961853027,78.98999786376953,70.11000061035156,17.684999465942383,29.565000534057617,23.06333351135254,27.8799991607666,22.350000381469727,37.2599983215332,3.259166955947876,19.920000076293945,73.91443634033203,47.93000030517578,87.91000366210938,8.983214378356934,23.010000228881836,5.4629998207092285,13.529412269592285,60.95000076293945,47.91999816894531,59.060001373291016,48.06999969482422,131.27000427246094
2010-07-01,62.810001373291016,38.43000030517578,76.61424255371094,81.80999755859375,6.146667003631592,24.770000457763672,5.690000057220459,7.630000114440918,86.70999908447266,85.5,19.834999084472656,42.69499969482422,25.046667098999023,35.22999954223633,21.6200008392334,44.150001525878906,3.884999990463257,24.979999542236328,75.0162124633789,47.59000015258789,97.04000091552734,10.133929252624512,24.489999771118164,7.853000164031982,16.29032325744629,66.44000244140625,52.93000030517578,61.959999084472656,53.52000045776367,144.5800018310547
2010-10-01,70.95999908447266,40.185001373291016,84.13506317138672,87.05000305175781,7.17888879776001,26.90999984741211,6.869999885559082,8.260000228881836,86.30000305175781,93.01000213623047,20.80500030517578,60.04499816894531,27.916667938232422,38.63999938964844,26.969999313354492,43.83000183105469,4.3566670417785645,26.540000915527344,93.98582458496094,47.150001525878906,101.41999816894531,11.520000457763672,27.90999984741211,9.0,16.612903594970703,65.33000183105469,55.58000183105469,61.849998474121094,53.93000030517578,168.16000366210938
2011-01-01,76.55999755859375,40.380001068115234,83.42276000976562,88.47000122070312,8.733332633972168,27.649999618530273,6.639999866485596,9.75,93.5,93.55000305175781,21.530000686645508,55.54999923706055,27.996667861938477,47.31999969482422,26.43000030517578,42.54999923706055,5.019166946411133,33.90999984741211,100.10784149169922,54.349998474121094,110.91000366210938,12.446785926818848,25.389999389648438,9.006500244140625,19.26944923400879,64.41000366210938,66.83999633789062,59.25,52.04999923706055,158.60000610351562
2011-04-01,74.5199966430664,43.70500183105469,88.41812896728516,87.94999694824219,8.739999771118164,25.709999084472656,6.559999942779541,10.5600004196167,94.8499984741211,94.8499984741211,21.604999542236328,52.900001525878906,27.956666946411133,40.47999954223633,25.510000228881836,40.790000915527344,6.745832920074463,38.349998474121094,99.67671203613281,56.849998474121094,114.01000213623047,11.988213539123535,26.0,10.224499702453613,19.544591903686523,70.43000030517578,67.66000366210938,66.5199966430664,53.13999938964844,133.08999633789062
2011-07-01,56.88999938964844,44.34000015258789,70.64755249023438,69.9000015258789,6.22333288192749,24.360000610351562,4.800000190734863,9.239999771118164,71.79000091552734,67.68000030517578,20.075000762939453,30.450000762939453,24.773332595825195,38.279998779296875,23.540000915527344,40.66999816894531,7.274167060852051,30.450000762939453,68.50138854980469,59.2400016784668,111.3499984741211,13.618571281433105,24.889999389648438,10.81149959564209,16.774194717407227,61.900001525878906,55.459999084472656,63.689998626708984,51.900001525878906,94.55000305175781
2011-10-01,66.41000366210938,46.19499969482422,78.8066635131836,76.33999633789062,7.019999980926514,27.200000762939453,5.489999771118164,10.399999618530273,81.7300033569336,83.51000213623047,23.190000534057617,36.790000915527344,29.75666618347168,48.25,27.049999237060547,44.79999923706055,7.678332805633545,33.68000030517578,89.77035522460938,61.779998779296875,134.4600067138672,14.464285850524902,25.959999084472656,8.654999732971191,20.531309127807617,66.3499984741211,58.54999923706055,65.58000183105469,59.7599983215332,90.43000030517578
2012-01-01,73.37999725341797,48.88999938964844,84.92137145996094,86.87999725341797,7.173333168029785,30.65999984741211,6.449999809265137,11.84000015258789,89.20999908447266,91.95999908447266,25.235000610351562,38.040000915527344,36.223331451416016,54.41999816894531,31.68000030517578,53.34000015258789,10.348333358764648,42.099998474121094,91.23619079589844,61.33000183105469,138.1699981689453,21.412500381469727,32.2599983215332,10.125499725341797,21.489564895629883,66.3499984741211,62.7400016784668,65.95999908447266,61.20000076293945,124.37000274658203
